event_date,medium,sessions
20210130,referral,348
20201126,<Other>,347
20201230,referral,347
20201124,<Other>,346
20201110,<Other>,345
20210118,referral,342
20210116,(none),339
20210113,<Other>,339
20201101,(none),338
20201230,(none),337
20201212,<Other>,337
20201221,<Other>,333
20201222,<Other>,333
20210120,<Other>,333
20201111,<Other>,328
20201119,<Other>,324
20201205,<Other>,324
20201107,(none),323
20201123,<Other>,322
20201206,<Other>,317
20201102,<Other>,317
20210119,<Other>,315
20210131,referral,314
20201115,(none),313
20201229,referral,312
20210104,referral,312
20210105,<Other>,312
20210117,(none),311
20210109,(none),310
20210116,referral,309
20201112,<Other>,309
20210110,(none),308
20201120,<Other>,308
20201105,<Other>,308
20210111,<Other>,306
20210107,<Other>,305
20201224,(none),303
20201118,<Other>,303
20210117,referral,297
20210114,<Other>,297
20201113,<Other>,295
20210108,<Other>,295
20201223,<Other>,294
20201128,<Other>,294
20210115,<Other>,290
20201231,(none),289
20201226,(none),288
20201109,<Other>,288
20201129,<Other>,285
20201219,<Other>,282
20210118,<Other>,281
20201213,<Other>,280
20210109,referral,279
20201108,(none),276
20201106,<Other>,276
20201114,(none),274
20201121,<Other>,270
20201227,(none),270
20210104,<Other>,266
20201220,<Other>,265
20210102,(none),260
20210103,(none),260
20210121,(none),255
20210101,(none),245
20201228,<Other>,245
20210103,referral,244
20210110,referral,243
20201229,<Other>,238
20210116,<Other>,237
20201225,(none),236
20201114,<Other>,231
20201224,<Other>,228
20210102,referral,224
20210109,<Other>,220
20210110,<Other>,218
20201122,<Other>,216
20201231,referral,215
20210103,<Other>,214
20201101,<Other>,212
20201107,<Other>,209
20201108,<Other>,209
20201115,<Other>,203
20210121,<Other>,202
20210117,<Other>,198
20210102,<Other>,197
20201230,<Other>,195
20210101,referral,191
20201227,<Other>,188
20201226,<Other>,185
20201231,<Other>,178
20210101,<Other>,169
20201215,cpc,166
20201211,cpc,158
20201225,<Other>,157
20201210,cpc,156
20201208,cpc,147
20201207,cpc,144
20201217,cpc,140
20201216,cpc,139
20201204,cpc,132
20201130,cpc,131
20201209,cpc,129
20201202,cpc,129
20201203,cpc,129
20201214,cpc,125
20201127,cpc,124
20201201,cpc,124
20201111,cpc,122
20210113,cpc,121
20201125,cpc,117
20201205,cpc,113
20201103,cpc,112
20201124,cpc,108
20210106,cpc,106
20210112,cpc,105
20201102,cpc,105
20210114,cpc,105
20201218,cpc,104
20201120,cpc,104
20201110,cpc,103
20201105,cpc,103
20201105,(data deleted),102
20201222,cpc,98
20201104,cpc,98
20201213,cpc,97
20201210,(data deleted),97
20210120,cpc,97
20210107,cpc,97
20201118,cpc,97
20201207,(data deleted),95
20201116,cpc,93
20210105,cpc,92
20201106,cpc,92
20210119,cpc,91
20201123,cpc,91
20201212,cpc,91
20201121,cpc,90
20201119,cpc,90
20201126,cpc,89
20201208,(data deleted),88
20201219,cpc,88
20201113,cpc,88
20201211,(data deleted),88
20201221,cpc,87
20201209,(data deleted),87
20210126,affiliate,86
20201117,cpc,86
20201223,cpc,86
20201112,cpc,85
20201206,cpc,85
20201216,(data deleted),85
20201215,(data deleted),83
20201228,cpc,83
20201103,(data deleted),83
20210108,cpc,83
20201106,(data deleted),83
20201104,(data deleted),82
20201128,cpc,82
20201229,cpc,80
20210104,cpc,80
20201102,(data deleted),80
20201217,(data deleted),80
20210118,cpc,79
20210125,affiliate,79
20210115,cpc,79
20201107,cpc,78
20201109,cpc,78
20201129,cpc,77
20210111,cpc,76
20210110,cpc,76
20201224,cpc,71
20201202,(data deleted),71
20210123,affiliate,70
20201214,(data deleted),70
20201125,(data deleted),69
20201122,cpc,68
20201220,cpc,67
20201218,(data deleted),66
20201230,cpc,66
20210117,cpc,66
20210102,cpc,65
20201201,(data deleted),64
20201203,(data deleted),64
20201204,(data deleted),64
20201225,cpc,63
20201117,(data deleted),62
20210129,affiliate,61
20201127,(data deleted),61
20201114,cpc,61
20201130,(data deleted),61
20210109,cpc,60
20210116,cpc,60
20201231,cpc,58
20201108,cpc,58
20210128,email,57
20201101,cpc,57
20201126,(data deleted),56
20201115,cpc,56
20210127,affiliate,55
20210121,cpc,54
20201221,(data deleted),53
20201222,(data deleted),53
20210128,affiliate,53
20210103,cpc,53
20201226,cpc,52
20201206,(data deleted),52
20210112,(data deleted),51
20210101,cpc,50
20201223,(data deleted),50
20201227,cpc,50
20210122,affiliate,49
20201116,(data deleted),48
20201205,(data deleted),48
20210111,(data deleted),47
20210107,(data deleted),47
20201124,(data deleted),47
20210120,(data deleted),46
20201108,(data deleted),45
20201212,(data deleted),45
20201128,(data deleted),45
20210114,(data deleted),44
20210106,(data deleted),43
20210113,(data deleted),43
20201219,(data deleted),42
20201224,(data deleted),42
20201220,(data deleted),42
20210115,(data deleted),42
20201123,(data deleted),42
20210108,(data deleted),42
20201120,(data deleted),42
20210118,(data deleted),41
20201229,(data deleted),40
20201213,(data deleted),40
20201227,(data deleted),40
20201107,(data deleted),38
20210122,(none),38
20210109,(data deleted),38
20201119,(data deleted),38
20210119,(data deleted),35
20201109,(data deleted),35
20201101,(data deleted),34
20201129,(data deleted),33
20210121,(data deleted),33
20210117,(data deleted),33
20201121,(data deleted),32
20201112,(data deleted),32
20201114,(data deleted),32
20201225,(data deleted),32
20210102,(data deleted),32
20201113,(data deleted),32
20201111,(data deleted),31
20201110,(data deleted),31
20210110,(data deleted),31
20201122,(data deleted),31
20201228,(data deleted),30
20210105,(data deleted),30
20210116,(data deleted),29
20210127,(data deleted),29
20210103,(data deleted),28
20201118,(data deleted),28
20201115,(data deleted),27
20210121,affiliate,27
20201230,(data deleted),27
20210123,(none),27
20210126,(none),26
20210124,affiliate,26
20210127,(none),26
20210125,(data deleted),25
20210104,(data deleted),24
20210122,(data deleted),21
20210101,(data deleted),21
20210123,(data deleted),21
20201211,email,21
20201231,(data deleted),21
20210126,(data deleted),20
20201226,(data deleted),18
20210129,email,17
20210128,(none),17
20201207,affiliate,17
20210131,(none),16
20210130,affiliate,16
20210122,<Other>,16
20210129,(none),16
20210124,(data deleted),16
20201118,affiliate,16
20201119,affiliate,15
20210127,email,15
20210129,(data deleted),15
20210131,(data deleted),14
20210130,(none),14
20201111,affiliate,14
20201120,affiliate,14
20201229,affiliate,13
20210112,affiliate,13
20210113,affiliate,13
20210130,(data deleted),13
20210118,affiliate,12
20201110,affiliate,12
20210128,(data deleted),12
20210125,(none),12
20201112,affiliate,12
20201106,affiliate,12
20201230,affiliate,12
20201109,affiliate,12
20201105,affiliate,12
20210125,<Other>,11
20201104,affiliate,11
20201202,affiliate,10
20210108,affiliate,10
20210131,affiliate,10
20201115,affiliate,9
20210107,affiliate,9
20201116,affiliate,9
20201130,email,9
20210114,affiliate,9
20201128,affiliate,9
20201107,affiliate,8
20201215,affiliate,8
20201114,affiliate,8
20201113,affiliate,8
20201124,affiliate,8
20201217,affiliate,8
20201204,affiliate,8
20201210,affiliate,8
20201226,affiliate,8
20201117,affiliate,8
20201126,affiliate,7
20201129,affiliate,7
20210104,affiliate,7
20210123,<Other>,7
20201206,affiliate,7
20210115,affiliate,7
20201214,email,7
20201228,affiliate,7
20210116,affiliate,7
20210124,(none),7
20201203,affiliate,7
20210129,<Other>,7
20201212,affiliate,7
20210131,<Other>,6
20201208,affiliate,6
20201219,affiliate,6
20210120,affiliate,6
20201125,affiliate,6
20201205,affiliate,6
20201214,affiliate,6
20210126,<Other>,6
20201130,affiliate,6
20201201,email,6
20201211,affiliate,6
20201210,email,6
20201123,affiliate,6
20210131,email,5
20201121,affiliate,5
20201209,affiliate,5
20201128,email,5
20201122,affiliate,5
20201222,affiliate,5
20201224,affiliate,5
20201212,email,5
20210130,email,4
20210109,affiliate,4
20210111,affiliate,4
20201127,affiliate,4
20210128,<Other>,4
20210124,<Other>,4
20201108,affiliate,4
20210117,affiliate,4
20201201,affiliate,4
20201102,affiliate,4
20210110,affiliate,4
20201103,affiliate,4
20201129,email,4
20201216,affiliate,4
20201218,affiliate,3
20210119,affiliate,3
20201127,email,3
20201220,affiliate,3
20210105,affiliate,3
20210131,cpc,3
20201213,affiliate,3
20210127,<Other>,3
20201215,email,3
20201202,email,3
20210130,<Other>,3
20201221,affiliate,3
20210122,cpc,3
20210129,cpc,3
20201223,affiliate,3
20210128,cpc,2
20201216,email,2
20201105,email,2
20210106,affiliate,2
20210125,cpc,2
20201225,affiliate,2
20201219,email,2
20210126,cpc,2
20210102,affiliate,2
20210103,affiliate,2
20210130,cpc,1
20201101,affiliate,1
20201231,affiliate,1
20201227,affiliate,1
20201102,email,1
20201218,email,1
20201208,email,1
20201213,email,1
20210124,cpc,1
20210101,affiliate,1
20210123,cpc,1
20201206,email,1
20210127,cpc,1
